CODIGO_ARTICULO;ARTICULO;Presentacion;COD_GRUPO;GRUPO;CODIGO_SUBGRUPO;SUBGRUPO;CODIGO_FAMILIA;FAMILIA;EMBALAJE;CatCod;categoria;SubCatCod;subcategoria
101001;ACEITUNA MANZANILLA CORUNA;"24 FCO X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101002;ACEITUNA MANZANILLA CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101006;ACEITE DE OLIVAS CORUNA;"24 FCO X 170 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-9997   ";"VARIOS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101007;ACEITUNA DESHUESADA CORUNA;"24 UDS X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101008;ACEITUNA DESHUESADA CORUNA;"24 UDS X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101010;ACEITUNA MORADAS CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101011;ACEITUNA MORADA CORUNA;"12 UDS X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101020;ACEITUNA RELLENA PIMENTON CORUÑA;"24 FCO X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101021;ACEITUNA RELLENA PIMENTON CORUÑA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101022;ACEITUNA RELLENA PIMENTON CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
